Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base set,,,,,,,,
,Against the Odds,001/221,Regular,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c4ab0c838854ccd5d5399a045835876450287e8-744x1039.png,
,Against the Odds,001/221,Foil,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c4ab0c838854ccd5d5399a045835876450287e8-744x1039.png,
,Armed Assailant,002/221,Regular,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1debdef1d45f7b2a452951db39674aeb01a8dc2b-744x1039.png,
,Armed Assailant,002/221,Foil,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1debdef1d45f7b2a452951db39674aeb01a8dc2b-744x1039.png,
,Blood Rush,003/221,Regular,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/931b77b9ab56c3abc85686be4d2452c450f9b3e0-744x1039.png,
,Blood Rush,003/221,Foil,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/931b77b9ab56c3abc85686be4d2452c450f9b3e0-744x1039.png,
,Mech,T01,Token,Common · Unit · OpenRift checklist,,0,https://cardsbeyond.com/cdn/shop/files/MechToken_SFD-T01.jpg?v=1773942007,
,Sand Soldier,T02,Token,Common · Unit · OpenRift checklist,,0,https://static.dotgg.gg/riftbound/cards/SFD-T02.webp,
,Gold,T03,Token,Common · Gear · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e878c39b562a4e870e93b819c6d85cdf3fdc5238-744x1039.png,
,Bushwhack,004/221,Regular,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f728959ad6d4ee6c507310000c3c9e02c0772a16-744x1039.png,
,Bushwhack,004/221,Foil,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f728959ad6d4ee6c507310000c3c9e02c0772a16-744x1039.png,
,Detonate,005/221,Regular,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e837fbd6aeeb1293386dcfa284aae5a4baca10ef-744x1039.png,
,Detonate,005/221,Foil,Common · Spell · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e837fbd6aeeb1293386dcfa284aae5a4baca10ef-744x1039.png,
,Eager Drakehound,006/221,Regular,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ac0fac5af309842ba91b4b8d80e1abd47622e14a-744x1039.png,
,Eager Drakehound,006/221,Foil,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ac0fac5af309842ba91b4b8d80e1abd47622e14a-744x1039.png,
