Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base set,,,,,,,,
,Baccai Sandspinner,001/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d8abab7f0df7c8ec9fff8c8dfa71c732e1ce2e6a-744x1039.png,
,Fury Rune,R01,Rune,Common · Rune · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f95ed6ba0c4d4d357c45bf5bdb1a8e540af1f85f-744x1039.png,
,"Kai'Sa, Survivor",SP1/006,Special collection,Epic · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a14d1be8f014a331f60885013d81a1a8f5c8c076-744x1039.png,
,Blade Twirler,002/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b222082d5d38630c4d2542ed24c0442881e3de18-744x1039.png,
,Calm Rune,R02,Rune,Common · Rune · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9b70aa1b334728a3e8beeea0c9154a2d0f79b1eb-744x1039.png,
,"Sona, Harmonious",SP2/006,Special collection,Epic · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2cc800fbd0011dd084426445ebb1c2831420063d-744x1039.png,
,"Ahri, Inquisitive",SP3/006,Special collection,Epic · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e8d1993018d8317494cbaab4e4dd738c2e80740d-744x1039.png,
,Brittle Steel,003/166,Regular,Common · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2264ab788558ec69b1b6ed3e03ce69a3f63bdbb7-744x1039.png,
,Mind Rune,R03,Rune,Common · Rune · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/33df1c56c6e76f9cb783c19161f16fcdbdc20f98-744x1039.png,
,Body Rune,R04,Rune,Common · Rune · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3313c73c5b31daa482073bfefbf4d2255a89d7d0-744x1039.png,
,Dune Surfer,004/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/acab9ec71d58f1e109cd8879c0fef0bdeb866432-744x1039.png,
,Empowered,T01,Token,Common · Token · Vendetta card gallery,,1,https://cardgamer.com/wp-content/uploads/2026/07/VEN-T01-Empowered-T.jpg,
,Gold,T02,Token,Common · Gear · OpenRift checklist,,1,https://openrift.app/media/cards/77/019fae61-b000-71cc-a70b-612c3a111f77-full.webp,
,Mech,T03,Token,Common · Unit · OpenRift checklist,,1,https://openrift.app/media/cards/67/019fae61-1229-7348-8d61-e313bf322567-full.webp,
,Recruit (NX),T04,Token,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/08b9ccf225fc2ae9eb9b5668e5361b09789210ee-744x1039.png,
,Shadow Clone,T05,Token,Common · Unit · Vendetta card gallery,,1,https://cardgamer.com/wp-content/uploads/2026/07/VEN-T05-Shadow-Clone-T.jpg,
,Tentacle,T06,Token,Common · Unit · Vendetta card gallery,,1,https://cardgamer.com/wp-content/uploads/2026/07/VEN-T06-Tentacle-T.jpg,
,"Sett, Brawler",SP4/006,Special collection,Epic · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/075f83adf06b41c42c78addd11cfc73fbdb8aabb-744x1039.png,
,Chaos Rune,R05,Rune,Common · Rune · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3861fc566891a70c21cf3d3075adec716deb7080-744x1039.png,
,"Ezreal, Prodigy",SP5/006,Special collection,Epic · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fd4beecca19d4e84ead0852acce83d4c34ac1b4c-744x1039.png,
,Forsaken Baccai,005/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/33d3e7840280e2780687057f08f30312a56d230f-744x1039.png,
,"Lux, Crownguard",SP6/006,Special collection,Epic · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b9778ec229e052268ea66213ca2dbf60612b2862-744x1039.png,
,Oasis Raider,006/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d44355b9b129054e63b6f2c8de30518fe87b6295-744x1039.png,
,Order Rune,R06,Rune,Common · Rune · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/71e7d71ebadb81ccad7ca4cb8b3fb85d2f5fd4bf-744x1039.png,
,Punching Poro,007/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/03b9a8e704e0f09b686d89d4c2d79f100f212b0f-744x1039.png,
,Ruthless Strike,008/166,Regular,Common · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/90293ef9407950d171f5fdd040da289a0f6da487-744x1039.png,
,Baccai Reaper,009/166,Regular,Uncommon · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/14c473be38b3ec40503f44555db9a4168a45bfb4-744x1039.png,
,Consuming Curse,010/166,Regular,Uncommon · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4254a96c88275f09c2c41653d46702125bc24d9f-744x1039.png,
,Pendulum Blade,011/166,Regular,Uncommon · Gear · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/857a5cee28f403454b1825dd112c07e9ac06b8a4-744x1039.png,
,Perfect Execution,012/166,Regular,Uncommon · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cb13c46f8c3872678b87f68891d9f4a416ba8080-744x1039.png,
