Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Fury,Against the Odds,001/221,Regular,Common · Spell · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c4ab0c838854ccd5d5399a045835876450287e8-744x1039.png,
Fury,Armed Assailant,002/221,Regular,Common · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1debdef1d45f7b2a452951db39674aeb01a8dc2b-744x1039.png,
Fury,Blood Rush,003/221,Regular,Common · Spell · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/931b77b9ab56c3abc85686be4d2452c450f9b3e0-744x1039.png,
Colorless,Gold,T03,Token,Common · Gear · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e878c39b562a4e870e93b819c6d85cdf3fdc5238-744x1039.png,
Fury,Bushwhack,004/221,Regular,Common · Spell · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f728959ad6d4ee6c507310000c3c9e02c0772a16-744x1039.png,
Fury,Detonate,005/221,Regular,Common · Spell · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e837fbd6aeeb1293386dcfa284aae5a4baca10ef-744x1039.png,
Fury,Eager Drakehound,006/221,Regular,Common · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ac0fac5af309842ba91b4b8d80e1abd47622e14a-744x1039.png,
Fury,Gem Jammer,007/221,Regular,Common · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9f487e8a76e6e6b9f2e32de0c9c147be42f49e59-744x1039.png,
Fury,Sentinel Adept,008/221,Regular,Common · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/94e213b77131d9a67e51743a35fc5dff80fd79ec-744x1039.png,
Fury,Serrated Dirk,009/221,Regular,Common · Gear · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9498c8146745124fc45a7b55184854a9c9da21f5-744x1039.png,
Fury,Void Drone,010/221,Regular,Common · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/589dde45bc610eb83bc808803e4becf8a6d2da84-744x1039.png,
Fury,Angle Shot,011/221,Regular,Uncommon · Spell · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/757d507b684e55e333bac0ecdf2ec9ff3ad6045c-744x1039.png,
Fury,Battering Ram,012/221,Regular,Uncommon · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5661f07778201b236b014a6078003cde9af57cdd-744x1039.png,
Fury,Blast Corps Cadet,013/221,Regular,Uncommon · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9efe5a8322a90822650ff18578cd5e1a8561fac5-744x1039.png,
Fury,Minotaur Reckoner,014/221,Regular,Uncommon · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/77bb46cd667e59f26310797ac99686f3a4d19af5-744x1039.png,
Fury,Perched Grimwyrm,015/221,Regular,Uncommon · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/71af1587378c1c3feabd1b148fb776e42c7d27e8-744x1039.png,
Fury,Recurve Bow,016/221,Regular,Uncommon · Gear · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/763604237b4b59df5df98f61528be2233b850dd5-744x1039.png,
Fury,Sudden Storm,017/221,Regular,Uncommon · Spell · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ba3e8c3e95137a289dbdec88e96e5c5a9a45f2c7-744x1039.png,
Fury,Void Hatchling,018/221,Regular,Uncommon · Unit · Official Card Gallery,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a909782d0a30f31f9414c99ba143fa570a3cb456-744x1039.png,
